id,shortcode,商品名稱,症狀關鍵字,原價,特價,諮詢藥師,熱賣,完售,剩餘數量,適用性,隱藏,_caption_預覽
3783645012270710120,DSCNReQkv1o,特蒂樂乳膏 0.1% 紐約,,,,,,,,,,特蒂樂乳膏 0.1% 紐約
3718991164982104967,DOcgsKvkxOH,祛黴 陰道錠 100mg 10錠/盒,,,,,,,,,,祛黴 陰道錠 100mg 10錠/盒
3713876696543508791,DOKVy21E7k3,醫立妥乳膏1% ELIDEL 15g,,,,,,,,,,醫立妥乳膏1% ELIDEL 15g
3713242949674589785,DOIFsoEE95Z,利痛炎/解痛炎 10錠/盒,,,,,,,,,,利痛炎/解痛炎 10錠/盒
3708145223720113102,DN1-m8zZhPO,滴舒適 DIQUAS 5ml,,,,,,,,,,滴舒適 DIQUAS 5ml 
3708140896397955599,DN19n-q5hIP,宜可利 眼用乳劑 ikervis 1mg/mL,,,,,,,,,,宜可利 眼用乳劑 ikervis 1mg/mL
3687920935325462710,DMuII0dzPC2,優樂碘ioRinse™ 優樂碘防護漱口水 美國專利， 醫學中心採用,,,,,,,,,,優樂碘ioRinse™ 優樂碘防護漱口水 美國專利， 醫學中心採用
3666963022251583775,DLjq3C5zGkf,益妙兒 100ml,,,,,,,,,,益妙兒 100ml 
3666956219719755097,DLjpUDjTiVZ,養肺寧散 生春/(同)立康加味救肺散,,,,,,,,,,養肺寧散 生春/(同)立康加味救肺散
3661134317663244551,DLO9kOvT1EH,姑嫂婦寶湯 莊春仁製藥,,,,,,,,,,姑嫂婦寶湯 莊春仁製藥
3646637786708971943,DKbdb8NThGn,速膚寧 75ml SUU balm,,,,,,,,,,速膚寧 75ml SUU balm
3646619313945563051,DKbZPIGzc-r,新型冠狀病毒快篩/福爾威創,,,,,,,,,,新型冠狀病毒快篩/福爾威創
3637938534730267153,DJ8jdKdTXoR,優利碘 喉嚨殺菌噴液 60ml 利達,,,,,,,,,,優利碘 喉嚨殺菌噴液 60ml 利達
3631348445409693808,DJlJCvgT9Bw,特補樂PLUS 60錠,,,,,,,,,,特補樂PLUS 60錠
3630634878502933205,DJimy-iT5LV,四益乳膏 22g,,,,,,,,,,四益乳膏 22g
3628368904105810295,DJajktbTNl3,氧化鋅軟膏 Zin ointment 28.4g 惠祥,,,,,,,,,,氧化鋅軟膏 Zin ointment 28.4g 惠祥
3618929630503674593,DI5BVM1TqLh,鼻復寧 20ml 售價180元,,,,,,,,,,鼻復寧 20ml 售價180元
3611716673961120380,DIfZS3kztJ8,杏輝 活芯 QH 升級版 軟膠囊｜60粒 盒裝 Q10 美國專利,,,,,,,,,,杏輝 活芯 QH 升級版 軟膠囊｜60粒 盒裝 Q10 美國專利
3603109443753991670,DIA0PLxz932,黴癒 10mg/g 噴劑 30ml,,,,,,,,,,黴癒 10mg/g 噴劑 30ml
3602403308424045068,DH-TrkATqIM,痔淨能 10g,,,,,,,,,,痔淨能 10g
